model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,telea,0.1,Random -> O150,ber,300,0.48488888888888887,0.4780000000000001,-0.006888888888888886,-0.015666666666666672,0.0020000000000000018,False,10000,42
3k_baseline,telea,0.1,Random -> O150,psnr_attack,300,21.74048123041789,23.543585093816123,1.8031038633982341,1.6684419781366984,1.945199515660604,True,10000,42
3k_baseline,telea,0.1,Random -> O150,ssim_attack,300,0.5957263439893723,0.67616959999005,0.08044325600067774,0.07537620326379935,0.08571407912919919,True,10000,42
3k_baseline,telea,0.1,Random -> O150,psnr_final,300,21.631852442423504,23.3731586933136,1.741306250890096,1.6147020533084868,1.8729430683453876,True,10000,42
3k_baseline,telea,0.1,Random -> O150,ssim_final,300,0.5963216248651345,0.6815537324547768,0.08523210758964221,0.08014882296696305,0.09050827650353313,True,10000,42
3k_baseline,telea,0.1,Random -> O300,ber,300,0.48488888888888887,0.4782222222222222,-0.006666666666666664,-0.015,0.0017777777777777822,False,10000,42
3k_baseline,telea,0.1,Random -> O300,psnr_attack,300,21.74048123041789,23.595145298639935,1.8546640682220459,1.7213290889263153,1.9937536861101786,True,10000,42
3k_baseline,telea,0.1,Random -> O300,ssim_attack,300,0.5957263439893723,0.677080248494943,0.08135390450557073,0.07623635697364807,0.08662325830509264,True,10000,42
3k_baseline,telea,0.1,Random -> O300,psnr_final,300,21.631852442423504,23.411635411580402,1.7797829691569012,1.6574587853749594,1.9061391208171845,True,10000,42
3k_baseline,telea,0.1,Random -> O300,ssim_final,300,0.5963216248651345,0.6826663170258204,0.08634469216068585,0.08125175436089437,0.09160970676814517,True,10000,42
3k_baseline,telea,0.1,O150 -> O300,ber,300,0.4780000000000001,0.4782222222222222,0.00022222222222222253,-0.006666666666666665,0.006891666666666631,False,10000,42
3k_baseline,telea,0.1,O150 -> O300,psnr_attack,300,23.543585093816123,23.595145298639935,0.05156020482381185,0.027220324118932087,0.07598014243443806,True,10000,42
