model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Frozen UNet,telea,0.6,0.5997798665364583,18.56376680056254,0.6117343144615491,18.682361736297608,0.6406429073214531,0.05911111111111103,300
Frozen UNet,telea,0.7000000000000001,0.6998195393880209,17.305532280604044,0.5485209576288859,17.384274234771727,0.5702072257796923,0.08577777777777787,300
Frozen UNet,telea,0.8,0.7998024495442708,16.037179543177288,0.48052675545215606,16.08477931022644,0.4951388254761696,0.14088888888888906,300
Frozen UNet,telea,0.9,0.8998551432291667,15.014367853800456,0.4162374478081862,15.042377859751383,0.42129318704207736,0.2534444444444444,300
Gaussian Blur,diffusion,0.1,0.09978108723958333,27.11692045847575,0.8772864911953608,28.694445819854735,0.9411251956224441,0.05311111111111101,300
Gaussian Blur,diffusion,0.2,0.1997991943359375,24.264171040852865,0.8238392651081086,24.978245468139647,0.8794073734680812,0.05599999999999995,300
Gaussian Blur,diffusion,0.30000000000000004,0.2998077392578125,22.452448174158732,0.7702034425735473,22.869905360539754,0.8173088866472245,0.05999999999999994,300
Gaussian Blur,diffusion,0.4,0.39980712890625,20.806502545674643,0.7124392974376679,21.071028979619346,0.7515013231833776,0.07333333333333338,300
Gaussian Blur,diffusion,0.5,0.4997955322265625,19.586727886199952,0.65357781291008,19.750621315638224,0.6846553389231363,0.09300000000000012,300
Gaussian Blur,diffusion,0.6,0.5997798665364583,18.319872477849323,0.5939751615126928,18.43326981862386,0.6165535187721253,0.13222222222222246,300
Gaussian Blur,diffusion,0.7000000000000001,0.6998195393880209,17.165742937723795,0.5303893755873045,17.235161317189533,0.5441627795497577,0.19511111111111107,300
Gaussian Blur,diffusion,0.8,0.7998024495442708,15.968673105239867,0.46512420122822123,16.007033007939658,0.4696626960237821,0.2877777777777777,300
Gaussian Blur,diffusion,0.9,0.8998551432291667,15.105042753219605,0.40198307608564693,15.125966157913208,0.3960762818654378,0.40099999999999997,300
Gaussian Blur,mean,0.1,0.09978108723958333,23.93593379974365,0.8495107062657674,24.632917035420736,0.9120130544900894,0.05355555555555546,300
Gaussian Blur,mean,0.2,0.1997991943359375,21.20205081621806,0.7774807840585709,21.54333719889323,0.8307967448234558,0.05699999999999995,300
Gaussian Blur,mean,0.30000000000000004,0.2998077392578125,19.462542594273884,0.7078211738665898,19.673682680130003,0.7518520953257879,0.06588888888888893,300
Gaussian Blur,mean,0.4,0.39980712890625,18.171387249628705,0.640807353357474,18.310500844319662,0.6762262944380443,0.08055555555555559,300
Gaussian Blur,mean,0.5,0.4997955322265625,17.137827746073405,0.576003483136495,17.223202225367228,0.6030570501089096,0.10988888888888906,300
Gaussian Blur,mean,0.6,0.5997798665364583,16.264401473999023,0.5192212735613188,16.331212345759074,0.5377686950564384,0.16266666666666693,300
Gaussian Blur,mean,0.7000000000000001,0.6998195393880209,15.547703819274902,0.46208461006482443,15.591155983606974,0.47210948914289474,0.23566666666666672,300
Gaussian Blur,mean,0.8,0.7998024495442708,14.793265889485678,0.40802145962913833,14.818779122034709,0.4091005881627401,0.33033333333333287,300
Gaussian Blur,mean,0.9,0.8998551432291667,14.186465992927552,0.35617619050045807,14.198645629882812,0.34763742960989474,0.4272222222222224,300
Gaussian Blur,navier,0.1,0.09978108723958333,27.10955993016561,0.8785538093249003,28.825222606658937,0.9430835908651352,0.06066666666666667,300
Gaussian Blur,navier,0.2,0.1997991943359375,24.26825470606486,0.8273799965778986,25.060528237024943,0.8836632720629374,0.06355555555555557,300
Gaussian Blur,navier,0.30000000000000004,0.2998077392578125,22.61777219772339,0.7778461559613545,23.081727158228556,0.8258596769968669,0.07377777777777786,300
Gaussian Blur,navier,0.4,0.39980712890625,21.012839962641397,0.7237038318316141,21.30345667521159,0.76353937625885,0.0900000000000001,300
Gaussian Blur,navier,0.5,0.4997955322265625,19.871971836090086,0.6670049854119618,20.067900002797444,0.6991058826446533,0.11511111111111129,300
Gaussian Blur,navier,0.6,0.5997798665364583,18.529328311284385,0.6081266531348228,18.66337862332662,0.6317678756515185,0.15255555555555564,300
Gaussian Blur,navier,0.7000000000000001,0.6998195393880209,17.299431975682577,0.5453625637292862,17.385442406336466,0.5605296514431636,0.21300000000000008,300
Gaussian Blur,navier,0.8,0.7998024495442708,16.106240793863932,0.47939092755317686,16.161303958892823,0.4851369664569696,0.2988888888888886,300
Gaussian Blur,navier,0.9,0.8998551432291667,15.021033595403036,0.41332175508141517,15.05632651646932,0.40846127226948736,0.39522222222222164,300
Gaussian Blur,shiftmap,0.1,0.09978108723958333,25.25345296859741,0.8596379808584849,26.356654739379884,0.9233016834656398,0.053999999999999916,300
Gaussian Blur,shiftmap,0.2,0.1997991943359375,21.95350913365682,0.7864827579259872,22.406610921223958,0.8420793767770132,0.05599999999999993,300
Gaussian Blur,shiftmap,0.30000000000000004,0.2998077392578125,19.52044416109721,0.7087247961759567,19.753132934570313,0.7560161354144415,0.05855555555555552,300
Gaussian Blur,shiftmap,0.4,0.39980712890625,17.762762168248493,0.632177770336469,17.89182697614034,0.671752137541771,0.06544444444444449,300
Gaussian Blur,shiftmap,0.5,0.4997955322265625,16.191814692815147,0.5476686941583951,16.262770439783733,0.5797908927996953,0.07200000000000005,300
Gaussian Blur,shiftmap,0.6,0.5997798665364583,14.837043190002442,0.46259860893090565,14.891304607391357,0.48755292952060697,0.0842222222222223,300
Gaussian Blur,shiftmap,0.7000000000000001,0.6998195393880209,13.767977172533671,0.3745679353674253,13.80207727432251,0.39260769774516424,0.09777777777777792,300
Gaussian Blur,shiftmap,0.8,0.7998024495442708,12.60189909776052,0.2701519597570101,12.619973926544189,0.2812214125196139,0.13855555555555576,300
Gaussian Blur,shiftmap,0.9,0.8998551432291667,10.626447168986003,0.12227611069877943,10.631273787816365,0.12704410155614218,0.3102222222222219,300
Gaussian Blur,telea,0.1,0.09978108723958333,27.192521063486733,0.8791717936595281,28.931794840494792,0.9435339856147766,0.061777777777777786,300
Gaussian Blur,telea,0.2,0.1997991943359375,24.38061325709025,0.8289345184961955,25.18332743326823,0.8848985415697098,0.06733333333333338,300
Gaussian Blur,telea,0.30000000000000004,0.2998077392578125,22.722704528172812,0.7801794389883677,23.19371841430664,0.8276892745494843,0.07988888888888898,300
